Docentes/Pesquisadores MutaGen,Estado,Instituição,Orientador(a),Orientação,Link Lattes
Ademar Freire Maia,SP,Unesp,,,http://lattes.cnpq.br/9183026293270963
Adriano Caldeira de Araújo,RJ,UERJ,,,http://lattes.cnpq.br/8544785942098302
Alexeia Barufatti,MS,UFGD,,,http://lattes.cnpq.br/4212280532558083
Álvaro Augusto da Costa Leitão,RJ,UFRJ,,,http://lattes.cnpq.br/1797697611370460
André Passaglia Schuch,RS,UFSM,,,http://lattes.cnpq.br/4932611269622766
Ângela Maria de Souza Bueno,SC,UFSC,,,http://lattes.cnpq.br/2867662854433390
Antônio Brito da Cunha,SP,USP,,,http://lattes.cnpq.br/1202405836337918
Antonio Rodrigues Cordeiro,RS,UFRGS,,,?
Anuário Bispo Cabral Neto,RJ,UFRJ,,,?
Benedito Rogério Vasconcelos Aragão,PB,UFPB,,,http://lattes.cnpq.br/1154625659983664
Berenice Quinzani Jordão,PR,UFMS/UEL,,,http://lattes.cnpq.br/7969610915501061
Bernardo Erdtmann,RS,UFRGS,,,http://lattes.cnpq.br/7080536168612670
Camila Carrião Machado Garcia,MG,UFOP,,,http://lattes.cnpq.br/6201516426270860
Carla Ivane Ganz Vogel,SC,UDESC,,,http://lattes.cnpq.br/5856567384726231
Carlos Frederico Martins Menck,SP,USP,,,http://lattes.cnpq.br/8043136069525312
Carlos Renato Machado,MG,UFMG,,,http://lattes.cnpq.br/6306925202374274
Carmen Lucia Bassi Branco,MT,UFMT,,,http://lattes.cnpq.br/0202623098081674
Catarina Satie Takahashi,SP,FMRP/USP,,,http://lattes.cnpq.br/8554309212630138
Cesar Koppe Grisolia,DF,UNB,,,http://lattes.cnpq.br/6611558584487547
Clarice Torres de Lemos,RS,FEPAM-RS,,,http://lattes.cnpq.br/5348706405357207
Claudia de Alencar Santos Lage,RJ,UFRJ,,,http://lattes.cnpq.br/4916914753471904
Claudia Vitoria de Moura Gallo,RJ,UERJ,,,http://lattes.cnpq.br/4626527709535782
Crodowaldo Pavan,SP,USP,,,http://lattes.cnpq.br/3486551918237738
Daisy Maria Fávero Salvadori,SP,UNESP,,,http://lattes.cnpq.br/5051118752980903
Danielle Palma de Oliveira,SP,USP,,,http://lattes.cnpq.br/4347006311423350
Debora de Oliveira Lopes,MG,UFSJ,,,http://lattes.cnpq.br/1497095411339190
Deborah Arnsdorff Roubicek,SP,CETESB,,,http://lattes.cnpq.br/6763141819457822
Denise Crispim Tavares,SP,USP/UNIFRAN,,,http://lattes.cnpq.br/5342181863190744
Dinara Jaqueline Moura,RS,UFCSPA,,,http://lattes.cnpq.br/3915597208191837
Edmundo Kanan Marques,RS,Ulbra/Fulbra,,,http://lattes.cnpq.br/2489685405294482
Edson Luis Maistro,SP,UNESP,,,http://lattes.cnpq.br/4787521613038315
Eduardo Penna Franca,RJ,CNEN,,,?
Eliana Aparecida Varanda,SP,UNESP,,,http://lattes.cnpq.br/7501930236496670
Elza Tiemi Sakamoto Hojo,SP,USP,,,http://lattes.cnpq.br/5998038395436082
Fábio Luis Forti,SP,USP,,,http://lattes.cnpq.br/5554271681491888
Fernanda Rabaioli da Silva,RS,UNILASALLE,,,http://lattes.cnpq.br/2995437997000967
Flávio Manoel Rodrigues da Silva Júnior,RS,FURG,,,http://lattes.cnpq.br/6001686006338661
Francisco Meirelles Bastos de Oliveira,RJ,UFRJ,,,http://lattes.cnpq.br/1609180875253724
Gilka Fígaro Gattás,SP,USP,,,http://lattes.cnpq.br/0725700398502101
Gisela de Aragão Umbuzeiro,SP,CETESB/UNICAMP,,,http://lattes.cnpq.br/9246879554920774
Glaucia Regina Martinez,PR,UFPR,,,http://lattes.cnpq.br/3747406519720029
Gustavo Rafael Mazzaron Barcelos,SP,UNIFESP,,,http://lattes.cnpq.br/3494181017350657
Hamilton João Targa,SP,USP,,,http://lattes.cnpq.br/8493470695813650
Heloisa Helena Rodrigues,SP,UFRGS,,,http://lattes.cnpq.br/3814921559949687
Igor Vivian de Almeida,PR,UFRA,,,http://lattes.cnpq.br/1706404060988942
Ilce Mara de Syllos Cólus,PR,UEL,,,http://lattes.cnpq.br/6507921467500196
Ione Pellegatti Lemonica,SP,UNESP,,,http://lattes.cnpq.br/4420793734129557
Israel Felzenszwalb,RJ,UFRJ,,,http://lattes.cnpq.br/8132847165466920
Izabel Vianna Villela,RS,INNVITRO/UFRGS,,,http://lattes.cnpq.br/5950364270087385
Janice de Oliveira Valsa,RJ,UERJ,,,?
Jaqueline Picada,RS,ULBRA/UFRGS,,,http://lattes.cnpq.br/8168929338682063
Jeanete Maristela Agostini,SC,UFSC,,,http://lattes.cnpq.br/2260897148342703
Jenifer Saffi,RS,UFCSPA,,,http://lattes.cnpq.br/3179264934205423
João Antonio Pegas Henriques,SP,UFRGS,,,http://lattes.cnpq.br/0251361943436465
João Marcelo Castro e Sousa,PI,UFPI,,,http://lattes.cnpq.br/5551042924769063
José Renato Rosa Cussiol,SP,UNIFESP,,,
Jose Valter Cotegipe Pelico,GO,UFG,,,
Juliana da Silva,RS,ULBRA/LASALLA,,,
Júlio Boschini Filho,SP,PUC/SP,,,
Kátia Kvitko,RS,UFRGS,,,
Lavinia Schuler-Faccini,RS,UFRGS,,,
Lee Chen Chen,GO,UFG,,,
Leonardo Karam Teixeira,RJ,INCA,,,
Leticia Caetano da Silva,CE,UFCA,,,
Liz Carmem Silva Pereira,PA,IFPA ITB,,,
Lucia Regina Ribeiro,SP,UNESP,,,
Lucymara Fassarella Agnez Lima,RN,UFRN,,,
Luis Carlos de Souza Ferreira,PE,UFPE,,,
Luiz Carlos Santos Porto,RS,URCAMP,,,
Lusânia Maria Greggi Antunes,SP,FCFRP/USP,,,
Maria Aparecida Marin Morales,SP,UNESP,,,
Maria Edwiges Hoffmann,SP,UNICAMP,,,
Maria Harris,SP,IHARRIS,,,
Maria Nazareth Rabello-Gay,SP,Instituto Butantan,,,
Maria Regina Gomes Carneiro,RJ,FIOCRUZ,,,
Mariana Gobbo Braz,SP,UNESP,,,
Mariana Vieira Coronas,RS,UFSM,,,
Mário Antônio Spanó,MG,UFU,,,
Mário Sérgio Mantovani,PR,UEL,,,
Marta Margarete Cestari,PR,UFPR,,,
Mauricio Lehmann,RS,ULBRA,,,
Michele Cristina Heck,PR,UEM,,,
Miriam da Conceição Martins,SC,UNESC,,,
Miriana Silva Machado,RS,INNVITRO/UFRGS,,,
Nadja C. de Souza Pinto,SP,USP,,,
Nelson Jorge Carvalho Batista,PI,UNIFSA,,,
Newton Freire Maia,PR,UFPR,,,
Newton Soares da Silva,SP,UNIVAP,,,
Nicolas Hoch,SP,USP,,,
Nívea Maria Conforti Froes,SP,UNESP,,,
Paolo Di Mascio,SP,USP,,,
Patricia Abrao Possik,RJ,INCA,,,
Patrícia Danielle Lima de Lima,PA,UEPA,,,
Paula Rohr,RS,ULBRA,,,
Rafael Rodrigues Dihl,RS,ULBRA,,,
Raquel Alves dos Santos,SP,UNIFRAN,,,
Roberto Alcântara Gomes,RJ,UERJ,,,
Rodrigo Otávio Alves de Lima,SC,UFSC,,,
Rogerio Meneghini,SP,UNIFESP  SCIELO/FAP,,,
Rommel Burbano,PA,UFPA,,,
Romulo Cesar Rezzo Pires,MA,UFMA,,,
Sandra Matta,SP,USP,,,
Sharbel Weidner Maluf,SC,HU UFSC,,,
Silmara de Moraes Pantaleão,SE,UFS,,,
Silvia Regina Batistuzzo de Medeiros,RN,UFRN,,,
Tirzah Braz Lajus,RN,UFRN,,,
Vanessa Moraes de Andrade,SC,UNESC,,,
