Country,Region,Grape,Size,Sweetness,Colour,Food match
Sweden,NI,Cinsaut,75CL,Semi-sweet,Gray,Vegetarian
Afghanistan,Saxony,Petit Verdot,75CL,Dry,White wine,Duck
Comoros,Goa,Mujuretuli,75CL,Dry,Rosé,Beef
Mauritania,Paraíba,Mujuretuli,1L,Sweet,Rosé,Duck
Maldives,North Island,Lagrein,1L,Very sweet,Rosé,Vegetarian
Argentina,Akwa Ibom,Aleatico,75CL,Bone dry,Gray,Fish
Croatia,Argyllshire,Aglianico,1L,Very sweet,White wine,Cheese
Isle of Man,LD,Garanoir,75CL,Sweet,Red wine,Cheese
Marshall Islands,Madhya Pradesh,Avanà,1L,Bone dry,Yellow,Vegetarian
Costa Rica,West Bengal,Gaglioppo,75CL,Sweet,Rosé,Cheese
Cyprus,South Island,Dureza,1L,Semi-sweet,Gray,Vegetarian
Portugal,Wie,Avanà,1L,Sweet,Gray,Beef
Afghanistan,Gelderland,Avanà,75CL,Semi-sweet,Yellow,Fish
Brazil,NA,Mujuretuli,75CL,Bone dry,Tawny,Fish
Venezuela,Koc,Lagrein,1L,Semi-sweet,Red wine,Cheese
Malta,Noord Brabant,Baga,75CL,Dry,Yellow,Duck
Eritrea,Zl,Manseng noir,75CL,Dry,White wine,BBQs
Guinea-Bissau,NI,Aglianico,1L,Dry,Yellow,BBQs
Sudan,GL,Mujuretuli,1L,Semi-sweet,Gray,Duck
Antarctica,Ist,Garanoir,75CL,Very sweet,Yellow,Fish
Ukraine,Kent,Avanà,1L,Semi-sweet,White wine,Cheese
Ireland,Hat,Blauburger,75CL,Semi-sweet,Gray,Duck
United States Minor Outlying Islands,North Island,Agiorgitiko,1L,Bone dry,Red wine,Fish
Brunei,HE,Aleatico,75CL,Sweet,White wine,BBQs
"Korea, North",Mersin,Cinsaut,1L,Bone dry,Rosé,Fish
Slovakia,VII,Aleatico,75CL,Dry,Yellow,Cheese
Cameroon,Uttar Pradesh,Agiorgitiko,75CL,Semi-sweet,Gray,Pork
Dominica,Stockholms län,Petit Verdot,1L,Very sweet,Yellow,Beef
Faroe Islands,Queensland,Helfensteiner,75CL,Sweet,Rosé,Pork
Cayman Islands,QLD,Helfensteiner,75CL,Very sweet,Tawny,Vegetarian
Armenia,Vienna,AglianiconeAlbaranzeuli nero,75CL,Very sweet,Rosé,Beef
Iran,NB,Aragónez,75CL,Semi-sweet,Rosé,BBQs
Croatia,Andhra Pradesh,Gaglioppo,75CL,Very sweet,White wine,Pork
Antarctica,Andalucía,Agiorgitiko,75CL,Very sweet,Rosé,Pork
Switzerland,VEN,Petit Verdot,1L,Bone dry,Rosé,Cheese
Aruba,II,Garanoir,1L,Dry,Red wine,Cheese
Ukraine,NSW,Dureza,1L,Semi-sweet,Gray,Vegetarian
Puerto Rico,Leinster,Garanoir,1L,Very sweet,Gray,Fish
Chile,KC,Gaglioppo,75CL,Bone dry,Tawny,Vegetarian
Mozambique,Ankara,AglianiconeAlbaranzeuli nero,1L,Sweet,White wine,Vegetarian
Honduras,MP,Helfensteiner,75CL,Very sweet,White wine,Cheese
Saint Barthélemy,Gl,Baga,75CL,Very sweet,Tawny,Pork
Libya,AL,Manseng noir,1L,Dry,Red wine,Fish
Netherlands,U,Lagrein,1L,Very sweet,Gray,Cheese
"Palestine, State of",Berlin,Agiorgitiko,1L,Very sweet,White wine,Pork
Falkland Islands,North Island,Gaglioppo,1L,Bone dry,Yellow,Cheese
Jamaica,Minas Gerais,Manseng noir,75CL,Bone dry,Tawny,Fish
Maldives,Western Australia,Petit Verdot,1L,Very sweet,Tawny,Beef
